# Table S3 Comprehensive yeast annotation table
# Costa et. al
# See Materials and Methods for additional information on annotation derivation
#
# gene: systematic gene name
# name: common gene name
# secretome: whether gene is a member of the secretome
# srp_dept: whether gene is predicted to be SRP-dependent, SRP-independent, or Internal
# tailanchor: whether this gene is annotated as tailanchor
# mitop2: whether gene is a member of the mitop2 reference set
# chx_dept: whether gene is predicted as CHX-dependent or CHX-independent for ER enrichment
# amino_acid_length: length of gene in amino acids
# hydrophobic_start: position, in amino acids, where the first Phobius-predicted hydrophobic feature begins
# first_hydrophobic_type: whether first Phobius-predicted hydrophobic feature is signal peptide (SP) or transmembrane domain (TMD)
# hydrophobic features: all Phobius-predicted hydrophobic features throughout length of protein
# For a given sequencing experiment:
#	The first portion indicates the protein to which BirA was fused
#	'XmAuxin' indicates X minutes of auxin treatment prior to biotinylation
#	'XmCHX' indicates X minutes of CHX pre-treatment (in addition to biotinylation time)
#	'XmBiotin' indicates X minutes of biotinylation time
#	'input' represents the whole cell ribosome profiling library
#	'pulldown' represents a biotin pulldown ribosome profiling library
#	'cts' refers to the number of sequencing reads that mapped to the gene
#	'rpkm' is reads per kilobase per million, which corrects counts for total sequencing reads in the library and gene length
#	'log2enrich' represents log2(*pulldown_rpkm/*input_rpkm)
#
gene	name	secretome	srp_dept	tailanchor	mitop2	chx_dept	amino_acid_length	hydrophobic_start	first_hydrophobic_type	hydrophobic_features	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_0mAuxin_0mCHX_1minBiotin_input_cts	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_input_rpkm	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_pulldown_cts	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_log2enrich	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_input_cts	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_input_rpkm	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_pulldown_cts	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_log2enrich	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_input_cts	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_input_rpkm	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_pulldown_cts	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_log2enrich	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_log2enrich	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_log2enrich	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich
YAL001C	TFC3	no	Not secreted	no	no		1160	None	None	None	367.0	9.05542818	125.0	2.65128578	-1.77209067413	5860.0	14.66409908	1523.0	5.4628821	-1.42455424657	3657.0	10.2157139	1235.0	5.35438931	-0.931996082582	1397.0	11.58852289	500.0	5.25790065	-1.1401379005	882.0	11.43736431	582.0	5.39570544	-1.08387113116	676.0	11.08105919	265.0	5.46180661	-1.02064565128	778.0	13.30951465	837.0	7.01662688	-0.923608410303	60.0	4.85576362	47.0	2.24544678		705.0	15.89035808	206.0	6.7231152	-1.24094986	443.0	10.15934276	164.0	6.5332166	-0.63694169637	427.0	12.00926882	199.0	7.37089734	-0.704236145569	1166.0	12.9800616	449.0	6.76320612	-0.940518001925	1161.0	11.75594031	478.0	6.8728594	-0.774407587769	2692.0	11.64833543	3122.0	8.56103637	-0.44426644558	1193.0	10.16076137	1662.0	6.61291817	-0.619649556222
YAL002W	VPS8	no	Not secreted	no	no		1274	None	None	None	197.0	4.42586042	53.0	1.02355447	-2.11237007344	2562.0	5.83748069	704.0	2.29923385	-1.34419266564	1541.0	3.91953874	481.0	1.89878864	-1.04560456118	926.0	6.99409013	253.0	2.42243121	-1.5296806897	460.0	5.43129963	335.0	2.82786463	-0.941584395084	312.0	4.65669436	129.0	2.42085466	-0.943789727276	442.0	6.88483366	408.0	3.11423692	-1.14454309509	56.0	4.12650974	62.0	2.69702616		343.0	7.03926392	145.0	4.30883532	-0.708126616441	198.0	4.13442995	88.0	3.19193797	-0.373255810675	314.0	8.04094146	149.0	5.02507	-0.678220733401	508.0	5.14908993	221.0	3.03100824	-0.764519693154	468.0	4.31478904	228.0	2.98492189	-0.531596845169	1809.0	7.12715068	1996.0	4.98359271	-0.516139258475	616.0	4.77699824	960.0	3.4779387	-0.457871840457
YAL003W	EFB1	no	Not secreted	no	no		206	None	None	None	34132.0	4742.3699705	11592.0	1384.5086425	-1.77623415794	355636.0	5011.34446845	101521.0	2050.54158001	-1.28919271044	389432.0	6125.84727735	111498.0	2722.07967818	-1.17020010307	108852.0	5084.62418478	35436.0	2098.34953766	-1.27688612706	68169.0	4977.77269941	87720.0	4579.46390194	-0.120321635749	62349.0	5755.12604865	49643.0	5761.54863178	0.00160911548672	51293.0	4941.1892875	107131.0	5057.18513477	0.0334762702648	5836.0	2659.57559284	4260.0	1146.05451412	-1.21452037303	26181.0	3322.93285936	7161.0	1316.03601607	-1.33625817136	34261.0	4424.38274866	8804.0	1974.94048093	-1.16366702176	20982.0	3322.96940637	8123.0	1694.23835077	-0.971836158794	77590.0	4863.78897359	30655.0	2600.14981609	-0.903485884358	108743.0	6200.36464854	40162.0	3251.7388768	-0.931141654224	180827.0	4405.98342163	139603.0	2155.65354865	-1.03133873631	112540.0	5397.38611777	115487.0	2587.53360085	-1.06068330131
YAL005C	SSA1	no	Not secreted	no	no		642	None	None	None	22214.0	2744.50567421	4829.0	512.85922827	-2.4199115337	487073.0	6103.04069324	122122.0	2193.36178168	-1.47638441449	1234971.0	17274.081337	330505.0	7174.89352539	-1.26757966022	636300.0	26429.4447705	159378.0	8391.9943672	-1.6550605025	51596.0	3350.17769533	45430.0	2108.9312602	-0.667725547155	215817.0	17713.9196098	118043.0	12182.1830841	-0.540110784951	343965.0	29463.9734476	487237.0	20452.0866902	-0.526703955922	4904.0	1987.2439685	5962.0	1426.23575308	-0.478556523929	37317.0	4211.58653672	10433.0	1704.93167346	-1.30464988667	117076.0	13443.8668307	31468.0	6276.92283744	-1.09881877809	144901.0	20405.841704	62635.0	11616.5938983	-0.812795102272	40280.0	2245.23655465	15726.0	1186.0936842	-0.920649486722	384052.0	19471.9579455	137681.0	9912.3816193	-0.974094320968	129704.0	2810.19606727	141331.0	1940.55213302	-0.534203599024	337859.0	14408.3994358	376521.0	7501.45955767	-0.941666848965
YAL007C	ERP2	yes	SRP dependent	no	no	indept	215	5	SP	SP+TMD	1155.0	153.7603786	8188.0	937.00928209	2.60737954587	13413.0	181.09365091	52187.0	1009.95909737	2.47948899421	10509.0	158.38887813	30197.0	706.36035389	2.15693333594	3873.0	173.3399645	10375.0	588.64031971	1.76378205073	2929.0	204.925626	11767.0	588.58681732	1.52215482535	1910.0	168.92249033	1818.0	202.16401432	0.259164795656	1982.0	182.93878956	4428.0	200.27653386	0.130632381938	299.0	130.55605071	2916.0	751.64358818	2.52537940988	1553.0	188.85807203	5176.0	911.41700903	2.27080884696	1203.0	148.84938451	2826.0	607.40015142	2.02879401209	1112.0	168.73804299	2013.0	402.28199045	1.25342187773	2902.0	174.29909835	1197.0	97.27919372	-0.841361929973	2567.0	140.23956321	1256.0	97.4358395	-0.525368971054	9402.0	219.49699997	13142.0	194.43499601	-0.174913311065	3678.0	169.01181368	6935.0	148.87717665	-0.183001491236
YAL008W	FUN14	yes	SRP independent	no	no	dept	198	40	TMD	TMD	201.0	29.05572942	322.0	40.01245516	0.461626482234	3824.0	56.06198269	5204.0	109.35836566	0.963968914627	3012.0	49.29371251	8108.0	205.94418137	2.06277782025	1520.0	73.86999402	5641.0	347.52917578	2.23407373413	774.0	58.80186885	968.0	52.57670974	-0.161438147081	695.0	66.74399259	832.0	100.46309876	0.589955784927	927.0	92.90843718	3432.0	168.5555291	0.859342431227	64.0	30.34443528	126.0	35.26697843	0.216886003397	556.0	73.41962422	508.0	97.13144361	0.403772673365	480.0	64.49052655	830.0	193.71091849	1.58674611957	618.0	101.82864514	1606.0	348.50228184	1.77502464312	811.0	52.89222738	2883.0	254.41559214	2.26605945442	959.0	56.89008185	3207.0	270.14772935	2.24749949404	2090.0	52.98194503	14530.0	233.42741284	2.13940128285	1045.0	52.14286591	9065.0	211.31130728	2.01882818353
YAL009W	SPO7	yes	Internal	no	no	indept	259	73	TMD	TMD	63.0	6.96212314	376.0	35.71844962		991.0	11.10681786	1117.0	17.94458102	0.692102699673	1040.0	13.01173848	724.0	14.05852568	0.111631575286	514.0	19.09646675	264.0	12.4338185	-0.619036309164	243.0	14.11308211	459.0	19.0588266	0.43342621137	172.0	12.62761263	93.0	8.58482839	-0.556720709442	246.0	18.84846355	299.0	11.22618871	-0.747578709629	18.0	6.52434649	194.0	41.51115939		140.0	14.13288508	115.0	16.80967813	0.25023609349	133.0	13.66066221	55.0	9.81305253	-0.477253532829	145.0	18.2647999	67.0	11.11476575	-0.716588405274	311.0	15.50589423	111.0	7.48837331	-1.05009246606	373.0	16.91578706	201.0	12.94386114	-0.386102268676	774.0	14.99988738	884.0	10.8568524	-0.466345768833	394.0	15.02935196	622.0	11.08436298	-0.43925694336
YAL010C	MDM10	no	Not secreted	no	yes		493	None	None	None	151.0	8.766595	22.0	1.09794423	-2.99721182513	1796.0	10.5748733	733.0	6.18638535	-0.77347177136	2017.0	13.25747234	807.0	8.23242138	-0.68741700429	809.0	15.79033226	424.0	10.49105825	-0.589881316455	377.0	11.50296477	394.0	8.59473597	-0.420480522844	335.0	12.92083129	207.0	10.03857019	-0.364145093463	414.0	16.66456696	780.0	15.38539312	-0.115222521356	51.0	9.71152724	54.0	6.07029417		250.0	13.25853824	99.0	7.6023804	-0.802398606228	253.0	13.65191192	125.0	11.71667253	-0.220540100997	220.0	14.55869481	158.0	13.77004765	-0.0803474716284	456.0	11.94411884	2065.0	73.18758362	2.61529848897	760.0	18.10713813	3105.0	105.04665727	2.53639980566	1222.0	12.44145258	11517.0	74.30942147	2.57839020273	736.0	14.7494115	8945.0	83.74396978	2.50532791665
YAL011W	SWC3	no	Not secreted	no	no		625	None	None	None	139.0	6.36554655	52.0	2.04704715	-1.63674005759	1370.0	6.36291775	473.0	3.14891572	-1.01483332818	1176.0	6.09718054	555.0	4.46595088	-0.449174882049	600.0	9.23763715	312.0	6.08940609	-0.601222352401	318.0	7.65354185	250.0	4.3017308	-0.831210297666	229.0	6.96703565	115.0	4.39912454	-0.663328500735	220.0	6.98527124	345.0	5.36784531	-0.379973040263	28.0	4.20573873	57.0	5.05426182		170.0	7.11166777	60.0	3.63439858	-0.9684712817	189.0	8.04454828	86.0	6.35857257	-0.33930847996	201.0	10.49210723	75.0	5.15592417	-1.02500150648	505.0	10.43392122	280.0	7.82784623	-0.41459412454	433.0	8.13750036	193.0	5.15044606	-0.659888318218	879.0	7.05920281	1249.0	6.35673129	-0.151220165813	419.0	6.62335149	729.0	5.3835361	-0.299007323549
YAL012W	CYS3	no	Not secreted	no	no		394	None	None	None	18551.0	1347.63418467	4438.0	277.1376915	-2.28175409023	187439.0	1380.95490338	48809.0	515.44650784	-1.42177158751	243844.0	2005.47661684	59979.0	765.60361479	-1.3892755983	122955.0	3002.89148549	28175.0	872.30440136	-1.78344876746	30825.0	1176.85300904	33260.0	907.83988776	-0.374424354072	47291.0	2282.31110685	34312.0	2082.08399192	-0.132467193387	64104.0	3228.71356892	112780.0	2783.53561672	-0.214040916514	2952.0	703.37091713	3003.0	422.39815032	-0.735682166715	19494.0	1293.62171147	5320.0	511.18338786	-1.33950293927	36927.0	2493.26063588	8756.0	1026.95338163	-1.27966301225	33950.0	2811.19024638	13093.0	1427.802774	-0.977384380914	25100.0	822.64732905	10214.0	452.96422571	-0.860876962898	48187.0	1436.53697557	16062.0	679.94056475	-1.0791145799	93044.0	1185.3291167	83744.0	676.09684875	-0.809985863325	86846.0	2177.69671348	91195.0	1068.30417211	-1.02748056898
